ID,Stellar_Wallet_Address,Campaign_ID,Donated_Amount_XLM,Transaction_Hash,StellarExpert_Tx_URL,StellarExpert_Account_URL
1,GDJVV7B4WA2YNXO6MBVGMYVL4OV54JOQW6C5YHGZIBFOFB22SDHHVOJH,2,270.5,2b024e605467fff4492c195630456dba25aecdf530419c57e1c0ba0007fcd860,https://stellar.expert/explorer/testnet/tx/2b024e605467fff4492c195630456dba25aecdf530419c57e1c0ba0007fcd860,https://stellar.expert/explorer/testnet/account/GDJVV7B4WA2YNXO6MBVGMYVL4OV54JOQW6C5YHGZIBFOFB22SDHHVOJH
2,GACH5WFFMZAELHNRF53UMJFLNCW6CKIXB67T5JME42Z74VZTUWU2Q2AG,3,165.5,f3df7451f069958a9992e4e03451f7c8074de1c283ddc80b9ae1fffacc9270c4,https://stellar.expert/explorer/testnet/tx/f3df7451f069958a9992e4e03451f7c8074de1c283ddc80b9ae1fffacc9270c4,https://stellar.expert/explorer/testnet/account/GACH5WFFMZAELHNRF53UMJFLNCW6CKIXB67T5JME42Z74VZTUWU2Q2AG
3,GDNDJJRS46B32XBBXA5ZVO73WBGYCJTETOC5HZKN5QCGJ7GUDKPJC4L7,4,86.5,5b533782605dcb6177482d214d381e7900ad21fb61e7ff7ffd6ab3f726646ce8,https://stellar.expert/explorer/testnet/tx/5b533782605dcb6177482d214d381e7900ad21fb61e7ff7ffd6ab3f726646ce8,https://stellar.expert/explorer/testnet/account/GDNDJJRS46B32XBBXA5ZVO73WBGYCJTETOC5HZKN5QCGJ7GUDKPJC4L7
4,GBDW324RUWTN2OFIRLLRTMYX6EWVAQZQNULYE7PGCNEX4MNKABATU3CV,1,274,ad9395c7a7e4cbc31939640d9c269ec5bdb43e6120945107f35694fa0b383538,https://stellar.expert/explorer/testnet/tx/ad9395c7a7e4cbc31939640d9c269ec5bdb43e6120945107f35694fa0b383538,https://stellar.expert/explorer/testnet/account/GBDW324RUWTN2OFIRLLRTMYX6EWVAQZQNULYE7PGCNEX4MNKABATU3CV
5,GALPICKMDITL33NOMEOMB2IINTADWDXPVQKJVVQWZKSCMU5HPXJZE4DI,2,32,2da2699e31de52f3abc53f8ffb149bd78ed2680a7e8ea04e88ace6b22ad2d268,https://stellar.expert/explorer/testnet/tx/2da2699e31de52f3abc53f8ffb149bd78ed2680a7e8ea04e88ace6b22ad2d268,https://stellar.expert/explorer/testnet/account/GALPICKMDITL33NOMEOMB2IINTADWDXPVQKJVVQWZKSCMU5HPXJZE4DI
6,GBF2FL7MHLLARTDPGBU5AIS22BK3AM26NNQ3VV63KGTREO2X247ND7UR,3,213,793f5c3a6d7a054d792fee8d5007c235f69228ef3f87b4f8e37bbfa72c7e45ec,https://stellar.expert/explorer/testnet/tx/793f5c3a6d7a054d792fee8d5007c235f69228ef3f87b4f8e37bbfa72c7e45ec,https://stellar.expert/explorer/testnet/account/GBF2FL7MHLLARTDPGBU5AIS22BK3AM26NNQ3VV63KGTREO2X247ND7UR
7,GCNXOEOTRPC5VRQUS764YCUQ7IKK32OZ6CMOPTRQCQXQHR2VKKV4GOS4,4,331.5,eef5fa4b21298c0b3f0b5cb02c2c66658c309e985367ee8d0405b4f6797b08a1,https://stellar.expert/explorer/testnet/tx/eef5fa4b21298c0b3f0b5cb02c2c66658c309e985367ee8d0405b4f6797b08a1,https://stellar.expert/explorer/testnet/account/GCNXOEOTRPC5VRQUS764YCUQ7IKK32OZ6CMOPTRQCQXQHR2VKKV4GOS4
8,GDGZBK36HIMZ52T7XO66DTJUNWCD45DUPW4FLUXWTDFY6YIAXJD3ZE3U,1,192,b2e7c32f0dc8c17a364c944a7a5cb6210447169d9c953d9632869e63a1b533f0,https://stellar.expert/explorer/testnet/tx/b2e7c32f0dc8c17a364c944a7a5cb6210447169d9c953d9632869e63a1b533f0,https://stellar.expert/explorer/testnet/account/GDGZBK36HIMZ52T7XO66DTJUNWCD45DUPW4FLUXWTDFY6YIAXJD3ZE3U
9,GBCFPCB7NYKWZAVC2D725TERZZ433JKF7WQU4AHH63PCCTWLTMFIYA62,2,335.5,fe16997baf787312ebad35de3d9ccb42a9f27d275ffcac887beaee400d993db4,https://stellar.expert/explorer/testnet/tx/fe16997baf787312ebad35de3d9ccb42a9f27d275ffcac887beaee400d993db4,https://stellar.expert/explorer/testnet/account/GBCFPCB7NYKWZAVC2D725TERZZ433JKF7WQU4AHH63PCCTWLTMFIYA62
10,GC2OTAXKNTXYPBSURG5HUVKYRCFIJZNCQQBXH5NM7FN37YNGBUNA4PJG,3,277,ce67f99659b9bd7b64e21417728c3dae6ee5c41ef9d9c27c495cd3b1a6004be2,https://stellar.expert/explorer/testnet/tx/ce67f99659b9bd7b64e21417728c3dae6ee5c41ef9d9c27c495cd3b1a6004be2,https://stellar.expert/explorer/testnet/account/GC2OTAXKNTXYPBSURG5HUVKYRCFIJZNCQQBXH5NM7FN37YNGBUNA4PJG
